Pitch,Octave,Nearest Note,Offset,Jazz-Close,Jazz-Close and CC,Up Quarter Tone,Up Quarter Tone and CC
108,4,G#,-15,FALSE,FALSE,FALSE,FALSE
109,4,G#,17,FALSE,FALSE,FALSE,FALSE
110,4,G#,48,FALSE,FALSE,TRUE,TRUE
111,4,A,-21,FALSE,FALSE,FALSE,FALSE
112,4,A,8,TRUE,TRUE,TRUE,TRUE
113,4,A,39,FALSE,FALSE,TRUE,FALSE
114,4,A#,-32,FALSE,FALSE,FALSE,FALSE
115,4,A#,-2,TRUE,FALSE,FALSE,FALSE
116,4,A#,27,FALSE,FALSE,FALSE,FALSE
117,4,B,-44,FALSE,FALSE,FALSE,FALSE
118,4,B,-15,FALSE,FALSE,FALSE,FALSE
119,4,B,14,FALSE,FALSE,FALSE,FALSE
120,4,B,42,FALSE,FALSE,TRUE,TRUE
121,5,C,-20,FALSE,FALSE,FALSE,FALSE
122,5,C,-2,TRUE,TRUE,FALSE,FALSE
123,5,C,26,FALSE,FALSE,FALSE,FALSE
124,5,C#,-46,FALSE,FALSE,FALSE,FALSE
125,5,C#,-19,FALSE,FALSE,FALSE,FALSE
126,5,C#,8,TRUE,TRUE,TRUE,TRUE
127,5,C#,35,FALSE,FALSE,FALSE,FALSE
128,5,D,-38,FALSE,FALSE,FALSE,FALSE
129,5,D,-12,FALSE,FALSE,FALSE,FALSE
130,5,D,14,FALSE,FALSE,FALSE,FALSE
131,5,D,40,FALSE,FALSE,TRUE,FALSE
132,5,D#,-34,FALSE,FALSE,FALSE,FALSE
133,5,D#,-8,TRUE,FALSE,FALSE,FALSE
134,5,D#,18,FALSE,FALSE,FALSE,FALSE
135,5,D#,43,FALSE,FALSE,TRUE,FALSE
136,5,E,-32,FALSE,FALSE,FALSE,FALSE
137,5,E,-7,TRUE,FALSE,FALSE,FALSE
138,5,E,18,FALSE,FALSE,FALSE,FALSE
139,5,E,42,FALSE,FALSE,TRUE,FALSE
140,5,F,-33,FALSE,FALSE,FALSE,FALSE
141,5,F,-9,TRUE,FALSE,FALSE,FALSE
142,5,F,15,FALSE,FALSE,FALSE,FALSE
143,5,F,39,FALSE,FALSE,TRUE,FALSE
144,5,F#,-37,FALSE,FALSE,FALSE,FALSE
145,5,F#,-13,FALSE,FALSE,FALSE,FALSE
146,5,F#,10,TRUE,TRUE,TRUE,TRUE
147,5,F#,34,FALSE,FALSE,FALSE,FALSE
148,5,G,-43,FALSE,FALSE,FALSE,FALSE
149,5,G,-20,FALSE,FALSE,FALSE,FALSE
150,5,G,3,TRUE,TRUE,TRUE,TRUE
151,5,G,25,FALSE,FALSE,FALSE,FALSE
152,5,G,48,FALSE,FALSE,TRUE,TRUE
153,5,G#,-30,FALSE,FALSE,FALSE,FALSE
154,5,G#,-7,TRUE,TRUE,FALSE,FALSE
155,5,G#,15,FALSE,FALSE,FALSE,FALSE
156,5,G#,37,FALSE,FALSE,FALSE,FALSE
157,5,A,-41,FALSE,FALSE,FALSE,FALSE
158,5,A,-20,FALSE,FALSE,FALSE,FALSE
159,5,A,2,TRUE,FALSE,TRUE,FALSE
160,5,A,23,FALSE,FALSE,FALSE,FALSE
161,5,A,45,FALSE,FALSE,TRUE,FALSE
162,5,A#,-34,FALSE,FALSE,FALSE,FALSE
163,5,A#,-13,FALSE,FALSE,FALSE,FALSE
164,5,A#,8,TRUE,TRUE,TRUE,TRUE
165,5,A#,29,FALSE,FALSE,FALSE,FALSE
166,5,A#,49,FALSE,FALSE,TRUE,TRUE
167,5,B,-30,FALSE,FALSE,FALSE,FALSE
168,5,B,-10,TRUE,TRUE,FALSE,FALSE
169,5,B,11,TRUE,FALSE,FALSE,FALSE
170,5,B,31,FALSE,FALSE,FALSE,FALSE
171,6,C,-49,FALSE,FALSE,FALSE,FALSE
172,6,C,-29,FALSE,FALSE,FALSE,FALSE
173,6,C,-9,TRUE,FALSE,FALSE,FALSE
174,6,C,11,TRUE,TRUE,FALSE,FALSE
175,6,C,30,FALSE,FALSE,FALSE,FALSE
176,6,C,50,FALSE,FALSE,TRUE,TRUE
177,6,C#,-31,FALSE,FALSE,FALSE,FALSE
